key,exercise_name,exercise_difficulty,exercise_type,image_name,directions,w_muscles,exercise_equipment
xN,Anti-Gravity Press,Beginner,Strength,1811_1.jpg,"1. Place a bar on the ground behind the head of an incline bench.
2. Lay on the bench face down. With a pronated grip, pick the barbell up from the floor. Flex the elbows, performing a reverse curl to bring the bar near your chest. This will be your starting position.
3. To begin, press the barbell out in front of your head by extending your elbows. Keep your arms parallel to the ground throughout the movement.
4. Return to the starting position and repeat to complete the set.",Shoulders,Barbell
2R,Arnold Dumbbell Press,Intermediate,Strength,82_2.jpg,"1. Sit on an exercise bench with back support and hold two dumbbells in front of you at about upper chest level with your palms facing your body and your elbows bent. Tip: Your arms should be next to your torso. The starting position should look like the contracted portion of a dumbbell curl.
2. Now to perform the movement, raise the dumbbells as you rotate the palms of your hands until they are facing forward.
3. Continue lifting the dumbbells until your arms are extended above you in straight arm position. Breathe out as you perform this portion of the movement.
4. After a second pause at the top, begin to lower the dumbbells to the original position by rotating the palms of your hands towards you. Tip: The left arm will be rotated in a counter clockwise manner while the right one will be rotated clockwise. Breathe in as you perform this portion of the movement.
5. Repeat for the recommended amount of repetitions.",Shoulders%Triceps,Dumbbell
KF,Axle Clean And Press,Expert,Strongman,3203_2.jpg,"1. Assume a shoulder-width stance, with knees inside the arms.
2. While keeping the back flat, bend at the knees and hips so that you can grab the bar with the arms fully extended and a mixed grip that is slightly wider than shoulder width. The bar should be close to the shins with the shoulders over or slightly ahead of the bar. This will be your starting position.
3. Extend the knees to raise the weight, keeping the angle of the back constant. Continue to lift the bar straight up, while keeping it close to your body.
4. As the bar passes the knee, extend at the ankles, knees, and hips forcefully similar to a jumping motion. As you do so, continue to guide to bar with your hands, shrugging your shoulders and using the momentum from your movement to pull the bar as high as possible. The bar should travel close to your body, and you should keep your elbows out.
5. At maximum elevation lean back and rest the bar on your torso. Switch your grip to a double overhand, and hitch the weight onto the front of the shoulders. Without moving your feet, press the bar overhead by extending the elbows.
6. Return the bar to the floor under control.",Shoulders%Glutes%Hamstrings%Lower Back% Middle Back%Quadriceps%Traps%Triceps,Barbell
jJ,Barbell Front Raise,Beginner,Strength,3741_2.jpg,"1. Adopt a pronated, shoulder-width grip on the barbell from a standing position.
2. Allow your arms to hang straight down to mid thigh with the elbows extended. Your head should face forward, with your shoulders back and your chest up. Maintain a neutral spine and contract your abs to provide core support. This will be your starting position.
3. Initiate the movement by flexing the shoulder, raising the weight straight out in front of you. Keep the elbows extended and the wrist neutral throughout the movement. Continue the upward movement of the arms until the barbell is just above shoulder height.
4. At the top of the motion, pause briefly, and then slowly return to the starting position.",Shoulders,Barbell
wX,Barbell Shoulder Press,Intermediate,Strength,308_2.jpg,"1. Sit on a bench with back support in a squat rack. Position a barbell at a height that is just above your head. Grab the barbell with a pronated grip (palms facing forward).
2. Once you pick up the barbell with the correct grip width, lift the bar up over your head by locking your arms. Hold at about shoulder level and slightly in front of your head. This is your starting position.
3. Lower the bar down to the shoulders slowly as you inhale.
4. Lift the bar back up to the starting position as you exhale.
5. Repeat for the recommended amount of repetitions.
",Shoulders%Chest%Triceps,Barbell
Bb,Battling Ropes,Beginner,Strength,1711_2.jpg,"1. For this exercise you will need a heavy rope anchored at its center 15-20 feet away. Standing in front of the rope, take an end in each hand with your arms extended at your side. This will be your starting position.
2. Initiate the movement by rapidly raising one arm to shoulder level as quickly as you can.
3. As you let that arm drop to the starting position, raise the opposite side.
4. Continue alternating your left and right arms, whipping the ropes up and down as fast as you can.",Shoulders%Chest%Forearms,Rope
QD,Dumbbell Lying One-Arm Rear Lateral Raise Guide,Intermediate,Strength,319_2.jpg,"1. While holding a dumbbell in one hand, lay with your chest down on a slightly inclined (around 15 degrees when measured from the floor) adjustable bench. The other hand can be used to hold to the leg of the bench for stability.
2. Position the palm of the hand that is holding the dumbbell in a neutral manner (palms facing your torso) as you keep the arm extended with the elbow slightly bent. This will be your starting position.
3. Now raise the arm with the dumbbell to the side until your elbow is at shoulder height and your arm is roughly parallel to the floor as you exhale. Tip: Maintain your arm perpendicular to the torso while keeping your arm extended throughout the movement. Also, keep the contraction at the top for a second.
4. Slowly lower the dumbbell to the starting position as you inhale.
5. Repeat for the recommended amount of repetitions.",Shoulders%Middle Back,Dumbbell
PR,Dumbbell Shoulder Press,Intermediate,Strength,328_1.jpg,"1. While holding a dumbbell in each hand, sit on a military press bench or utility bench that has back support. Place the dumbbells upright on top of your thighs.
2. Now raise the dumbbells to shoulder height one at a time using your thighs to help propel them up into position.
3. Make sure to rotate your wrists so that the palms of your hands are facing forward. This is your starting position.
4. Now, exhale and push the dumbbells upward until they touch at the top.
5. Then, after a brief pause at the top contracted position, slowly lower the weights back down to the starting position while inhaling.
6. Repeat for the recommended amount of repetitions.",Shoulders%Triceps,Dumbbell
qH,Seated Barbell Military Press,Intermediate,Strength,382_2.jpg,"1. Sit on a Military Press Bench with a bar behind your head and either have a spotter give you the bar (better on the rotator cuff this way) or pick it up yourself carefully with a pronated grip (palms facing forward). Tip: Your grip should be wider than shoulder width and it should create a 90-degree angle between the forearm and the upper arm as the barbell goes down.
2. Once you pick up the barbell with the correct grip length, lift the bar up over your head by locking your arms. Hold at about shoulder level and slightly in front of your head. This is your starting position.
3. Lower the bar down to the collarbone slowly as you inhale.
4. Lift the bar back up to the starting position as you exhale.
5. Repeat for the recommended amount of repetitions.",Shoulders%Triceps,Barbell
zs,Hand Stand Push-Up,Expert,Strength,4261_2.jpg,"1. Begin by facing a wall, standing 3 to 4 feet away from it. Bending at the waist, lower your arms down to the ground and place them 4 to 6 inches from the wall, while simultaneously kicking your legs up towards the wall—this is to be done in a quick, continuous motion.
2. Keep your glutes and abdominals tight, and your arms and legs fully extended. This will be your starting position. Begin to lower yourself to the ground, maintaining fully extended legs and feet together. Keep your elbows at roughly a 45 degree angle—not flared completely out nor in a straight line with your upper arms.
3. Lower yourself until the top of your head grazes the ground. Once the bottom position is achieved, push through the hands, keeping your legs straight, and glutes and core tight, and return to the starting position. 4. Repeat for the recommended number of repetitions.",Shoulders%Triceps%Abdominals,Body Only
uQ,One-Arm Kettlebell Split Snatch,Expert,Strength,537_2.jpg,"1. Hold a kettlebell in one hand by the handle.
2. Squat towards the floor, and then reverse the motion, extending the hips, knees, and finally the ankles, to raise the kettlebell overhead.
3. After fully extending the body, descend into a lunge position to receive the weights overhead, one leg forward and one leg back. Ensure you drive through with your hips and lock the ketttlebells overhead in one uninterrupted motion.
4. Return to a standing position, holding the weight overhead, and bring the feet together. Lower the weight to return to the starting position.",Shoulders%Hamstrings%Quadriceps,Kettlebells
r0,Front Plate Raise,Intermediate,Strength,230_2.jpg,"1. While standing straight, hold a barbell plate in both hands at the 3 and 9 o'clock positions. Your palms should be facing each other and your arms should be extended and locked with a slight bend at the elbows and the plate should be down near your waist in front of you as far as you can go. Tip: The arms will remain in this position throughout the exercise. This will be your starting position.
2. Slowly raise the plate as you exhale until it is a little above shoulder level. Hold the contraction for a second. Tip: make sure that you do not swing the weight or bend at the elbows. Your torso should remain stationary throughout the movement as well.
3. As you inhale, slowly lower the plate back down to the starting position.
4. Repeat for the recommended amount of repetitions.",Shoulders,Weighted Plate
8x,Bench Dips,Beginner,Strength,344_2.jpg,"1. For this exercise you will need to place a bench behind your back. With the bench perpendicular to your body, and while looking away from it, hold on to the bench on its edge with the hands fully extended, separated at shoulder width. The legs will be extended forward, bent at the waist and perpendicular to your torso. This will be your starting position.
2. Slowly lower your body as you inhale by bending at the elbows until you lower yourself far enough to where there is an angle slightly smaller than 90 degrees between the upper arm and the forearm. Tip: Keep the elbows as close as possible throughout the movement. Forearms should always be pointing down.
3. Using your triceps to bring your torso up again, lift yourself back to the starting position.
4. Repeat for the recommended amount of repetitions.",Triceps%Chest%Shoulders,Body Only
lR,Cable One Arm Tricep Extension,Beginner,Strength,80_2.jpg,"1. With your right hand, grasp a single handle attached to the high-cable pulley using a supinated (underhand; palms facing up) grip. You should be standing directly in front of the weight stack.
2. Now pull the handle down so that your upper arm and elbow are locked in to the side of your body. Your upper arm and forearm should form an acute angle (less than 90-degrees). You can keep the other arm by the waist and you can have one leg in front of you and the other one back for better balance. This will be your starting position.
3. As you contract the triceps, move the single handle attachment down to your side until your arm is straight. Breathe out as you perform this movement. Tip: Only the forearms should move. Your upper arms should remain stationary at all times.
4. Squeeze the triceps and hold for a second in this contracted position.
5. Slowly return the handle to the starting position.
6. Repeat for the recommended amount of repetitions and then perform the same movement with the other arm.",Triceps,Cable Machine
fL,Cable Rope Overhead Triceps Extension,Beginner,Strength,220_2.jpg,"1. Attach a rope to the bottom pulley of the pulley machine.
2. Grasping the rope with both hands, extend your arms with your hands directly above your head using a neutral grip (palms facing each other). Your elbows should be in close to your head and the arms should be perpendicular to the floor with the knuckles aimed at the ceiling. This will be your starting position.
3. Slowly lower the rope behind your head as you hold the upper arms stationary. Inhale as you perform this movement and pause when your triceps are fully stretched.
4. Return to the starting position by flexing your triceps as you breathe out.
5. Repeat for the recommended amount of repetitions.",Triceps,Cable Machine
UX,EZ-Bar Skullcrusher,Beginner,Strength,1641_2.jpg,"1. Using a close grip, lift the EZ bar and hold it with your elbows in as you lie on the bench. Your arms should be perpendicular to the floor. This will be your starting position.
2. Keeping the upper arms stationary, lower the bar by allowing the elbows to flex. Inhale as you perform this portion of the movement. Pause once the bar is directly above the forehead.
3. Lift the bar back to the starting position by extending the elbow and exhaling.
4. Repeat.",Triceps%Forearms,EZ- Curl Bar
2t,Parallel Bar Dip,Beginner,Strength,1461_2.jpg,"1. Stand between a set of parallel bars. Place a hand on each bar, and then take a small jump to help you get into the starting position with your arms locked out.
2. Begin by flexing the elbow, lowering your body until your arms break 90 degrees. Avoid swinging, and maintain good posture throughout the descent.
3. Reverse the motion by extending the elbow, pushing yourself back up into the starting position.
4. Repeat for the desired number of repetitions.",Triceps%Chest%Shoulders,Parallel Bar
mA,Seated Triceps Press,Beginner,Strength,341_2.jpg,"1. Sit down on a bench with back support and grasp a dumbbell with both hands and hold it overhead at arm's length. Tip: a better way is to have somebody hand it to you especially if it is very heavy. The resistance should be resting in the palms of your hands with your thumbs around it. 2.The palm of the hand should be facing inward. This will be your starting position.
3. Keeping your upper arms close to your head (elbows in) and perpendicular to the floor, lower the resistance in a semi-circular motion behind your head until your forearms touch your biceps. Tip: The upper arms should remain stationary and only the forearms should move. 4.Breathe in as you perform this step.
Go back to the starting position by using the triceps to raise the dumbbell. Breathe out as you perform this step.
Repeat for the recommended amount of repetitions.",Triceps,Dumbbell
Bx,Suspended Triceps Press,Intermediate,Strength,3931_2.jpg,"1. Adjust the straps to about shoulder height. Taking the handles with a pronated grip, lean into them supporting your weight with your arms straight. Your hips and knees should be extended. This will be your starting position.
2. Perform the movement by slowly allowing your elbow to flex. Only the forearm should move, with the humerus (upper arm) maintaining its position.
3. As the elbow closes below 90 degrees, pause. Complete the exercise by returning to the starting position by extending the elbow.",Triceps%Abdominals%Shoulders,Cable Machine
NW,Triceps Pushdown-Rope Attachment,Beginner,Strength,54_2.jpg,"1. Attach a rope attachment to a high pulley and grab with a neutral grip (palms facing each other).
2. Standing upright with the torso straight and a very small inclination forward, bring the upper arms close to your body and perpendicular to the floor. The forearms should be pointing up towards the pulley as they hold the rope with the palms facing each other. This is your starting position.
3. Using the triceps, bring the rope down as you bring each side of the rope to the side of your thighs. At the end of the movement the arms are fully extended and perpendicular to the floor. The upper arms should always remain stationary next to your torso and only the forearms should move. Exhale as you perform this movement.
4. After holding for a second, at the contracted position, bring the rope slowly up to the starting point. Breathe in as you perform this step.
5. Repeat for the recommended amount of repetitions.",Triceps,Cable Machine
hb,Weighted Bench Dip,Intermediate,Strength,334_2.jpg,"1. For this exercise you will need to place a bench behind your back and another one in front of you. With the benches perpendicular to your body, hold on to one bench on its edge with the hands close to your body, separated at shoulder width. Your arms should be fully extended.
2. The legs will be extended forward on top of the other bench. Your legs should be parallel to the floor while your torso is to be perpendicular to the floor. Have your partner place the dumbbell on your lap. Note: This exercise is best performed with a partner as placing the weight on your lap can be challenging and cause injury without assistance. This will be your starting position.
3. Slowly lower your body as you inhale by bending at the elbows until you lower yourself far enough to where there is an angle slightly smaller than 90 degrees between the upper arm and the forearm. Tip: Keep the elbows as close as possible throughout the movement. Forearms should always be pointing down.
4. Using your triceps to bring your torso up again, lift yourself back to the starting position while exhaling.
5. Repeat for the recommended amount of repetitions.
Caution: By placing your legs on top of another flat bench in front of you, the exercise becomes more challenging. It is best to attempt this exercise without any weights at first in order to get used to the movements required for good form. If that variation also becomes easy, then you can have a partner place plates on top of your lap. Make sure that in this case the partner ensures that the weights stay there throughout the movement.",Triceps%Chest%Shoulders,Weighted Plate
4h,Standing Overhead Barbell Triceps Extension,Beginner,Strength,354_1.jpg,"1. To begin, stand up holding a barbell or e-z bar using a pronated grip (palms facing forward) with your hands closer than shoulder width apart from each other. Your feet should be about shoulder width apart.
2. Now elevate the barbell above your head until your arms are fully extended. Keep your elbows in. This will be your starting position.
3. Keeping your upper arms close to your head and elbows in, perpendicular to the floor, lower the resistance in a semicircular motion behind your head until your forearms touch your biceps. Tip: The upper arms should remain stationary and only the forearms should move. Breathe in as you perform this step.
4. Go back to the starting position by using the triceps to raise the barbell. Breathe out as you perform this step.
5. Repeat for the recommended amount of repetitions.",Triceps%Shoulders,Barbell
pb,Ring Dips,Intermediate,Strength,1431_2.jpg,"1. Grip a ring in each hand, and then take a small jump to help you get into the starting position with your arms locked out.
2. Begin by flexing the elbow, lowering your body until your arms break 90 degrees. Avoid swinging, and maintain good posture throughout the descent.
3. Reverse the motion by extending the elbow, pushing yourself back up into the starting position.
4. Repeat for the desired number of repetitions.",Triceps%Chest%Shoulders,Ring
WP,Reverse Grip Triceps Pushdown,Beginner,Strength,179_1.jpg,"1. Start by setting a bar attachment (straight or e-z) on a high pulley machine.
2. Facing the bar attachment, grab it with the palms facing up (supinated grip) at shoulder width. Lower the bar by using your lats until your arms are fully extended by your sides. Tip: Elbows should be in by your sides and your feet should be shoulder width apart from each other. This is the starting position.
3. Slowly elevate the bar attachment up as you inhale so it is aligned with your chest. Only the forearms should move and the elbows/upper arms should be stationary by your side at all times.
4. Then begin to lower the cable bar back down to the original staring position while exhaling and contracting the triceps hard.
5. Repeat for the recommended amount of repetitions.",Triceps,Cable Machine
f5,Machine Triceps Extension,Beginner,Strength,901_1.jpg,"1. Adjust the seat to the appropriate height and make your weight selection. Place your upper arms against the pads and grasp the handles. This will be your starting position.
2. Perform the movement by extending the elbow, pulling your lower arm away from your upper arm.
3. Pause at the completion of the movement, and then slowly return the weight to the starting position.
4. Avoid returning the weight all the way to the stops until the set is complete to keep tension on the muscles being worked.",Triceps,Triceps Machine
Aq,Incline Barbell Triceps Extension,Intermediate,Strength,347_2.jpg,"1. Hold a barbell with an overhand grip (palms down) that is a little closer together than shoulder width.
2. Lie back on an incline bench set at any angle between 45-75-degrees.
3. Bring the bar overhead with your arms extended and elbows in. The arms should be in line with the torso above the head. This will be your starting position.
4. Now lower the bar in a semicircular motion behind your head until your forearms touch your biceps. Inhale as you perform this movement. Tip: Keep your upper arms stationary and close to your head at all times. Only the forearms should move.
5. Return to the starting position as you breathe out and you contract the triceps. Hold the contraction for a second.
6. Repeat for the recommended amount of repetitions.",Triceps%Forearms,Barbell
BB,Cobra Triceps Extension,Intermediate,Strength,3133_2.jpg,"1. Begin lying prone on the floor with your elbows bent and your finger tips in line with your chest.
2. Extend your elbows and push your upper body and hips off the ground.
3. When your elbows reach full extension, re-bend them and lower your body back to the ground.
4. Repeat.",Triceps%Chest,Body Only
n9,Assisted Chin-Up,Beginner,Strength,4381_2.jpg,"1. Use an assisted pull-up machine or securely attach a heavy-duty band to a pull-up station, securing it around just one knee. The tension should be taut enough to pull that lower leg up. Grasp the bar with an underhand grip, about shoulder-width apart, and hang at full arm extension. This is your start position.
2. Keeping your body straight, contract your biceps and lats to pull yourself up as high as you can, driving your elbows down.
3. Slowly release to full arm extension. Repeat for the required number of repetitions and safely dismount from the apparatus.",Lats%Biceps%Middle Back,Assisted Pull-Up Machine
8P,Close-Grip Front Lat Pulldown,Beginner,Strength,14_1.jpg,"1. Sit down on a pull-down machine with a wide bar attached to the top pulley. Make sure that you adjust the knee pad of the machine to fit your height. These pads will prevent your body from being raised by the resistance attached to the bar.
2. Grab the bar with the palms facing forward using the prescribed grip. Note on grips: For a wide grip, your hands need to be spaced out at a distance wider than your shoulder width. For a medium grip, your hands need to be spaced out at a distance equal to your shoulder width and for a close grip at a distance smaller than your shoulder width.
3. As you have both arms extended in front of you - while holding the bar at the chosen grip width - bring your torso back around 30 degrees or so while creating a curvature on your lower back and sticking your chest out. This is your starting position.
4. As you breathe out, bring the bar down until it touches your upper chest by drawing the shoulders and the upper arms down and back. Tip: Concentrate on squeezing the back muscles once you reach the full contracted position. The upper torso should remain stationary (only the arms should move). The forearms should do no other work except for holding the bar; therefore do not try to pull the bar down using the forearms.
5. After a second in the contracted position, while squeezing your shoulder blades together, slowly raise the bar back to the starting position when your arms are fully extended and the lats are fully stretched. Inhale during this portion of the movement.
6. Repeat this motion for the prescribed amount of repetitions.",Lats%Biceps%Middle Back%Shoulders,Cable Machine
rO,Elevated Cable Rows,Intermediate,Strength,293_2.jpg,"1. Get a platform of some sort (it can be an aerobics or calf raise platform) that is around 4-6 inches in height.
2. Place it on the seat of the cable row machine.
3. Sit down on the machine and place your feet on the front platform or crossbar provided making sure that your knees are slightly bent and not locked.
4. Lean over as you keep the natural alignment of your back and grab the V-bar handles.
5. With your arms extended pull back until your torso is at a 90-degree angle from your legs. Your back should be slightly arched and your chest should be sticking out. You should be feeling a nice stretch on your lats as you hold the bar in front of you. This is the starting position of the exercise.
6. Keeping the torso stationary, pull the handles back towards your torso while keeping the arms close to it until you touch the abdominals. Breathe out as you perform that movement. At that point you should be squeezing your back muscles hard. Hold that contraction for a second and slowly go back to the original position while breathing in.
7. Repeat for the recommended amount of repetitions.
Caution: Avoid swinging your torso back and forth as you can cause lower back injury by doing so.",Lats%Middle Back%Traps,Cable Machine
FV,Kneeling High Pulley Row,Beginner,Strength,1921_2.jpg,"1. Select the appropriate weight using a pulley that is above your head. Attach a rope to the cable and kneel a couple of feet away, holding the rope out in front of you with both arms extended. This will be your starting position.
2. Initiate the movement by flexing the elbows and fully retracting your shoulders, pulling the rope toward your upper chest with your elbows out.
3. After pausing briefly, slowly return to the starting position.",Lats%Biceps%Middle Back,Cable Machine
gR,One Arm Against Wall,Beginner,Stretching,478_2.jpg,"1. From a standing position, place a bent arm against a wall or doorway.
2. Slowly lean toward your arm until you feel a stretch in your lats.",Lats,Body Only
rc,Overhead Slam,Beginner,Plyometrics,905_2.jpg,"1. Hold a medine ball with both hands and stand with your feet at shoulder width. This will be your starting position.
2. Initiate the countermovement by raising the ball above your head and fully extending your body.
3. Reverse the motion, slamming the ball into the ground directly in front of you as hard as you can.
4. Receive the ball with both hands on the bounce and repeat the movement.",Lats,Medicine Ball
5s,Pull-ups,Beginner,Strength,46_2.jpg,"1. Grab the pull-up bar with the palms facing forward using the prescribed grip. Note on grips: For a wide grip, your hands need to be spaced out at a distance wider than your shoulder width. For a medium grip, your hands need to be spaced out at a distance equal to your shoulder width and for a close grip at a distance smaller than your shoulder width.
2. As you have both arms extended in front of you holding the bar at the chosen grip width, bring your torso back around 30 degrees or so while creating a curvature on your lower back and sticking your chest out. This is your starting position.
3. Pull your torso up until the bar touches your upper chest by drawing the shoulders and the upper arms down and back. Exhale as you perform this portion of the movement. Tip: Concentrate on squeezing the back muscles once you reach the full contracted position. The upper torso should remain stationary as it moves through space and only the arms should move. The forearms should do no other work other than hold the bar.
4. After a second on the contracted position, start to inhale and slowly lower your torso back to the starting position when your arms are fully extended and the lats are fully stretched.
5. Repeat this motion for the prescribed amount of repetitions.",Lats%Biceps%Middle Back,Pull-up Bar
EC,Rocky Pull-ups/Pulldowns,Intermediate,Strength,279_3.jpg,"1. Grab the pull-up bar with the palms facing forward using a wide grip.
2. As you have both arms extended in front of you holding the bar at the chosen grip width, bring your torso back around 30 degrees or so while creating a curvature on your lower back and sticking your chest out. This is your starting position.
3. Pull your torso up until the bar touches your upper chest by drawing the shoulders and the upper arms down and back. Exhale as you perform this portion of the movement. Tip: Concentrate on squeezing the back muscles once you reach the full contracted position. The upper torso should remain stationary as it moves through space and only the arms should move. The forearms should do no other work other than hold the bar.
4. After a second on the contracted position, start to inhale and slowly lower your torso back to the starting position when your arms are fully extended and the lats are fully stretched.
5. Now repeat the same movements as described above except this time your torso will remain straight as you go up and the bar will touch the back of the neck instead of the upper chest. Tip: Use the head to lean forward slightly as it will help you properly execute this portion of the exercise.
6. Once you have lowered yourself back down to the starting position, repeat the exercise for the prescribed amount of repetitions in your program.
Caution: The behind the neck variation can be hard on the rotator cuff due to the hyperextension created by bringing the bar behind the neck so this exercise is not recommended for people with shoulder problems.",Lats%Biceps%Middle Back%Shoulders,Pull-up Bar
jP,Rope Straight-Arm Pulldown,Beginner,Strength,2171_1.jpg,"1. Attach a rope to a high pulley and make your weight selection. Stand a couple feet back from the pulley with your feet staggered and take the rope with both hands. Lean forward from the hip, keeping your back straight, with your arms extended up in front of you. This will be your starting position.
2. Keeping your arms straight, extend the shoulder to pull the rope down to your thighs.
3. Pause at the bottom of the motion, squeezing your lats.
4. Return to the starting position without allowing the weight to fully rest on the stack.",Lats,Cable Machine
LV,V-Bar Pulldown,Intermediate,Strength,177_2.jpg,"1. Sit down on a pull-down machine with a V-Bar attached to the top pulley.
2. Adjust the knee pad of the machine to fit your height. These pads will prevent your body from being raised by the resistance attached to the bar.
3. Grab the V-bar with the palms facing each other (a neutral grip). Stick your chest out and lean yourself back slightly (around 30-degrees) in order to better engage the lats. This will be your starting position.
4. Using your lats, pull the bar down as you squeeze your shoulder blades. Continue until your chest nearly touches the V-bar. Exhale as you execute this motion. Tip: Keep the torso stationary throughout the movement.
5. After a second hold on the contracted position, slowly bring the bar back to the starting position as you breathe in.
6. Repeat for the prescribed number of repetitions.
Caution: Avoid the temptation to use a weight so big that you need to start swinging your torso in order to perform the exercise.",Lats%Biceps%Middle Back%Shoulders,Cable Machine
7l,Weighted Pull-ups,Intermediate,Strength,928_2.jpg,"1. Attach a weight to a dip belt and secure it around your waist. Grab the pull-up bar with the palms of your hands facing forward. For a medium grip, your hands should be spaced at shoulder width. Both arms should be extended in front of you holding the bar at the chosen grip.
2. You’ll want to bring your torso back about 30 degrees while creating a curvature in your lower back and sticking your chest out. This will be your starting position.
3. Now, exhale and pull your torso up until your head is above your hands. Concentrate on squeezing yourshoulder blades back and down as you reach the top contracted position.
4. After a brief moment at the top contracted position, inhale and slowly lower your torso back to the starting position with your arms extended and your lats fully stretched.",Lats%Biceps%Middle Back,Pull-up Bar
Gt,Dynamic Back Stretch,Beginner,Stretching,586_2.jpg,"1. Stand with your feet shoulder width apart. This will be your starting position.
2. Keeping your arms straight, swing them straight up in front of you 5-10 times, increasing the range of motion each time until your arms are above your head.",Lats,Body Only
PP,Burpee Pull-up,Expert,Plyometrics,4161_3.jpg,"1. Begin standing under a bar with your legs shoulder-width apart. This will be your starting position.
2. Descend into a squat by pushing your hips and butt backwards. Continue down until the upper legs are at or just below parallel to the floor. Inhale as you perform this portion of the movement.
3. Place your hands on the floor and kick your legs back so you end up with your stomach and thighs on the floor. Your elbows should be bent. This should be done quickly.
4. From this position, press up like you're doing a push-up and push your hips up. Jump your feet under your hips and begin to stand as you prepare to jump up.
5. Finish the movement by jumping in the air and bringing your hands over your head to grab a strong hold on the bar. Immediately pull yourself up until your chin is just above the bar. This is one repetition.
6. Descend from the pull-up by allowing your arms to extend and then let go of the bar to return to the ground. Repeat for recommended number of repetitions.",Lats%Biceps%Calves%Glutes%Hamstrings,Pull-up Bar
D7,Gironda Sternum Chins,Intermediate,Strength,292_2.jpg,"1. Grasp the pull-up bar with a shoulder width underhand grip.
2. Now hang with your arms fully extended and stick your chest out and lean back. Tip: You will be leaning back throughout the entire movement. This will be your starting position.
3. Start pulling yourself towards the bar with your spine arched throughout the movement and your head leaning back as far away from the bar as possible. Exhale as you perform this portion of the movement. Tip: At the upper end of the movement, your hips and legs will be at about a 45-degree angle to the floor.
4. Keep pulling until your collarbone passes the bar and your lower chest or sternum area touches it. Hold that contraction for a second. Tip: By the time you've completed this portion of the movement; your head will be parallel to the floor.
5. Slowly start going back to the starting position as you inhale.
6. Repeat for the recommended amount of repetitions.",Lats%Biceps%Middle Back,Pull-up Bar
Ai,Side-Lying Floor Stretch,Beginner,Stretching,440_2.jpg,"1. First lie on your left side, bending your left knee in front of you to stabilize your torso (use your abdominal muscles as well to hold you upright).
2. Straighten your right leg and rest the right foot on the floor behind your left. Straighten your right arm over your head and gently pull on your right wrist to stretch the entire right side of the body. Switch sides.",Lats,Body Only
Uc,Barbell Bench Press,Beginner,Strength,360_1.jpg,"1. Lie back on a flat bench. Using a medium width grip (a grip that creates a 90-degree angle in the middle of the movement between the forearms and the upper arms), lift the bar from the rack and hold it straight over you with your arms locked. This will be your starting position.
2. From the starting position, breathe in and begin coming down slowly until the bar touches your middle chest.
3. After a brief pause, push the bar back to the starting position as you breathe out. Focus on pushing the bar using your chest muscles. Lock your arms and squeeze your chest in the contracted position at the top of the motion, hold for a second and then start coming down slowly again. Tip: Ideally, lowering the weight should take about twice as long as raising it.
4. Repeat the movement for the prescribed amount of repetitions.
5. When you are done, place the bar back in the rack.
Caution:

If you are new at this exercise, it is advised that you use a spotter. If no spotter is available, then be conservative with the amount of weight used.

Also, beware of letting the bar drift too far forward. You want the bar to touch your middle chest and nowhere else.

Don't bounce the weight off your chest. You should be in full control of the barbell at all times.1.",Chest%Shoulders%Triceps,Flat Bench%Barbell
sQ,Barbell Incline Bench Press,Beginner,Strength,3311_2.jpg,"1. Load the bar to an appropriate weight for your training.
2. Lay on the bench with your feet flat on the ground, driving through to your hips. Your back should be arched, and your shoulder blades retracted.
3. Take a medium, pronated grip covering the rings on the bar. Remove the bar from the rack, holding the weight above your chest with your arms extended. This will be your starting position.
4. Lower the bar to the sternum by flexing the elbows. Maintain control and do not bounce the bar off of your chest. Your lats should stay tight and elbows slightly drawn in.
5. After touching your torso with the bar, extend the elbows to return the bar to the starting position.",Chest%Shoulders%Triceps,Incline Bench%Barbell
De,Bodyweight Flyes,Intermediate,Strength,1561_2.jpg,"1. Position two equally loaded EZ bars on the ground next to each other. 2. Ensure they are able to roll.
3. Assume a push-up position over the bars, supporting your weight on your toes and hands with your arms extended and body straight.
Place your hands on the bars. This will be your starting position.
4. Using a slow and controlled motion, move your hands away from the midline of your body, rolling the bars apart. Inhale during this portion of the motion.
5. After moving the bars as far apart as you can, return to the starting position by pulling them back together. Exhale as you perform this movement.",Chest%Shoulders%Triceps%Abdominals,E-Z Curl Bar
36,Cable Chest Press,Beginner,Strength,870_1.jpg,"1. Adjust the weight to an appropriate amount and be seated, grasping the handles. Your upper arms should be about 45 degrees to the body, with your head and chest up. The elbows should be bent to about 90 degrees. This will be your starting position.
2. Begin by extending through the elbow, pressing the handles together straight in front of you. Keep your shoulder blades retracted as you execute the movement.
3. After pausing at full extension, return to th starting position, keeping tension on the cables.
4. You can also execute this movement with your back off the pad, at an incline or decline, or alternate hands.",Chest%Shoulders%Triceps,Cable Machine
